,Unnamed: 0,product_name,review_date,review_content,review_star,review_writer,reveiw_replaced,replaced_review
89,89,"닥터스베스트 루테인 20mg 소프트젤, 60정, 1개",2023.03.11,"어머니가 최근 노안때문에 시력이 급속도로 안좋아졌다며 눈관련 영양제를 구매해달라 하셔서 제가 먹고 있던 제품인 닥터스베스트루테인을 주문했어요.

영양제 오더가 떨어지자마자 골드박스에 떡하니 올라와 있기에 더 반갑기도 해서 바로 구매했어요.

먹다보니 어디서 식약처 권고량이 10~20mg이고 질병이나 읫사가 권고하지많으면 건강보조, 즉 예방차원이라면 10mg짜리가 좋다고 합니다.

그래서 10mg냐 20mg사이에 고민 좀 했어요.

시력이 노환때문에 나빠지고 있는대 젊은 사람들의 예방 목적용 10mg보다는 좀더 높은 20mg가 나을것 같아서요.

그리고 우리나라약은 대부분 20mg함량이라 딱 권고량 최대치니 나쁘지않을것 같아요.

약도 사이즈도 작아 삼키기 좋습니다.",3.0,고*주 ,"['어머니', '최근', '노안', '때문', '시력', '급속도', '좋아지다', '관련', '양제', '구매', '해달라다', '하다', '먹다', '있다', '제품', '닥터스', '베스', '트루', '주문', '하다', '양제', '오다', '떨어지다', '골드', '박스', '떡하니', '올라오다', '있다', '반갑다', '기도', '하다', '바로', '구매', '하다', '먹다', '보다', '어디서', '식약처', '고량', '질병', '읫사', '권고', '하다', '많다', '건강', '보조', '예방', '차원', '라면', '짜다', '리가', '좋다', '하다', '그래서', '사이', '고민', '하다', '시력', '노환', '때문', '나빠지다', '있다', '젊다', '사람', '예방', '목적', '좀더', '높다', '가다', '나다', '같다', '그리고', '우리나라', '대부분', '함량', '고량', '최대', '치다', '나쁘다', '않다', '같다', '약도', '사이즈', '작다', '삼키다', '좋다']",노안 시력 급속도 좋아지다 양제 구매 해달라다 제품 닥터스 베스 트루 주문 양제 떨어지다 골드 박스 떡하니 올라오다 반갑다 기도 구매 어디서 식약처 고량 질병 읫사 권고 많다 건강 보조 예방 차원 라면 짜다 리가 좋다 사이 시력 노환 나빠지다 젊다 예방 목적 높다 우리나라 함량 고량 최대 치다 나쁘다 약도 사이즈 작다 삼키다 좋다
97,97,"닥터스베스트 루테인 20mg 소프트젤, 180정, 1개",2022.06.17,"눈이 불편해도 피곤해서 그런가하고 넘겼는데
눈 가장자리가 조금따갑고 가려워서 눈꺼풀을
뒤집어보니 눈꺼플 안쪽이 빨갛게 되어있고
흰자에도 핏줄이 나있고 이거먹고 눈에 문제
생겼어요 정면으로 볼땐 아무이상 없는데
뒤집어보니 심각합니다
그래서 눈이 불편한것을 피곤해서
불편하다 생각한 제 잘못이죠
지금보니 약이 안에서 분리되어 까맣게
상태가 심각하네요 바쁘니 한알 꺼내서
먹고 물마시고 자세히 확인 안한 실수죠
문제 생기고 다른분 상품평보니 가렵다는분
있었고 또다른분 약사진 보니까 저보다
상태가 좋은데 쿠팡에 문의하니 먹지말라고
했던데 정말 화가납니다 눈주위로
자꾸 가렵네요
저만 그런건지 상품평 좋길래 샀는데
이 약 정말 실망입니다",1.0,강*선 ,"['불편하다', '피곤하다', '런가', '넘기다', '가장자리', '조금', '따갑다', '가다', '눈꺼풀', '뒤지다', '어보', '안쪽', '빨갛다', '되어다', '흰자', '핏줄', '나다', '먹다', '문제', '생기다', '정면', '볼땐', '이상', '없다', '뒤지다', '어보', '심각하다', '그래서', '불편하다', '피곤하다', '불편하다', '생각', '잘못', '금보', '분리', '되어다', '까맣다', '상태', '심각하다', '바쁘다', '꺼내다', '먹다', '말다', '자세하다', '확인', '실수', '문제', '생기', '상품', '평보', '가렵다는분', '있다', '사진', '상태', '좋다', '쿠팡', '문의', '하다', '먹다', '하다', '정말', '화가', '나다', '위로', '자꾸', '가렵네', '그렇다', '상품', '좋다', '사다', '정말', '실망', '이다']",불편하다 피곤하다 런가 넘기다 가장자리 따갑다 눈꺼풀 뒤지다 어보 안쪽 빨갛다 흰자 핏줄 문제 생기다 정면 볼땐 뒤지다 어보 심각하다 불편하다 피곤하다 불편하다 잘못 금보 분리 까맣다 상태 심각하다 바쁘다 꺼내다 자세하다 확인 문제 생기 상품 평보 가렵다는분 사진 상태 좋다 쿠팡 문의 정말 화가 위로 자꾸 가렵네 그렇다 상품 좋다 사다 정말 실망
100,100,"닥터스베스트 루테인 20mg 소프트젤, 180정, 1개",2021.03.18,"유통기한은 넉넉한데요
캡슐이 투명하다보니 내용물이 다 보여요
근데 자세히 보니까 기름이 분리된것처럼 보이는데
왠지 찝찝해서요 이거 먹어도 되나요?
혹시 변질되엇다거나 가짜는 아니겟지요 ㅜ.ㅜ
지금 먹은지 한달 넘엇는데 크게 효과도 없는것같아서요
노안이 와서 안구건조증때문에 자고 일어낫을때 눈이 뻑뻑해서 루테인을 안떨어뜨리고 먹엇어요
기존에 먹던건 국내제약회사껀데요 그거 먹을때는 아침에 눈뜨기가 수월햇는데 이제품 먹고나서는 효과가 거의 없어서
점안액 한두방울 넣어야 눈이 떨어지네요
기존에 먹던 루테인은 흑갈색이라서 안이 안보여서 몰랏는데
이렇게 투명해서 잘보이니까 좀 그러네요
괜한 생각인가싶기도하고 ㅎ",2.0,박*수 ,"['유통', '기한', '넉넉하다', '캡슐', '투명하다', '보다', '내용물', '보이다', '근데', '자세하다', '기름', '분리', '되다', '보이다', '왠지', '찝찝하다', '먹다', '되다', '혹시', '변질', '되다', '거나', '가짜', '아니다', '지금', '먹다', '넘다', '늘다', '크게', '효과', '없다', '같다', '노안', '오다', '안구건조증', '때문', '자고', '일어', '뻑뻑', '하다', '루테인', '떨어뜨리다', '먹엇어', '기존', '먹다', '국내', '제약회사', '껀데', '그거', '먹다', '아침', '눈뜨다', '월햇', '늘다', '제품', '먹다', '나서다', '효과', '거의', '없다', '점안액', '방울', '넣다', '떨어지다', '기존', '먹다', '루테인', '갈색', '안이', '안보', '몰랏는데', '이렇게', '투명하다', '보이다', '그렇다', '생각', '싶다', '기도']",캡슐 투명하다 내용물 보이다 근데 자세하다 기름 분리 보이다 왠지 찝찝하다 변질 거나 가짜 아니다 넘다 늘다 크게 노안 안구건조증 자고 일어 뻑뻑 루테인 떨어뜨리다 먹엇어 기존 국내 제약회사 껀데 눈뜨다 월햇 늘다 제품 나서다 점안액 방울 넣다 떨어지다 기존 루테인 갈색 안이 안보 몰랏는데 이렇게 투명하다 보이다 그렇다 싶다 기도
119,119,"하루1팩 데일리밸런스원 rTG오메가3+밀크씨슬+루테인을 한번에, 23.475g, 2박스",2023.03.05,"하루1팩 데일리밸런스원 rTG오메가3+밀크씨슬+루테인을 한번에, 23.475g, 2박스",3.0,로켓와우횐 ,"['하루', '일리', '밸런스', '오메가', '밀크', '루테인', '한번', '박스']",일리 밸런스 오메가 밀크 루테인 박스
162,162,"데일리케어 유한 루테인지아잔틴 플러스, 30정, 2개",2022.05.14,먹어도 별효과는 그닥못느꼈어요,2.0,김*경 ,"['먹다', '효과', '느끼다']",느끼다
182,182,"종근당건강 눈에 좋은 아이팜 루테인, 90정, 1개",2019.12.22,"전에먹던걸 다먹어서
이번엔종근당껄로시켜밧는데좋겟죠?
전에껀한달넘게먹으니효과나타낫는데~
꾸준히먹는게좋지싶어용
안먹는것보단 눈도덜건조하고 렌즈빼고나서뻑뻑함도덜해여",3.0,김*진 ,"['먹다', '먹다', '이번', '종근당', '시키다', '밧다', '좋다', '넘다', '먹다', '효과', '나타', '낫다', '꾸준하다', '먹다', '좋다', '먹다', '건조하다', '렌즈', '빼다', '뻑뻑', '덜하다']",종근당 밧다 좋다 넘다 나타 낫다 꾸준하다 좋다 건조하다 렌즈 빼다 뻑뻑 덜하다
186,186,"종근당건강 눈에 좋은 아이팜 루테인, 90정, 1개",2019.05.24,"종근당 이름만 믿고 구매했는데 반나절도 안되서 눈이 엄청 피곤합니다
버릴수도 타 제품사서
같이 먹을수도.. 버릴수도...
타사 제품 먹았을때는 하루종일 피곤하지않았는데
다른거로 다시 구매해야할것같네요",1.0,신난댜 ,"['종근당', '이름', '믿다', '구매', '하다', '반나절', '안되다', '엄청', '피곤하다', '버리다', '제품', '사서', '같이', '먹다', '버리다', '타다', '제품', '먹다', '하루', '종일', '피곤하다', '않다', '다시', '구매', '하다', '하다', '같다']",종근당 이름 믿다 구매 반나절 안되다 엄청 피곤하다 버리다 제품 사서 버리다 제품 피곤하다 다시 구매
276,276,"뉴트리원 루테인지아잔틴164 두뇌 & 눈 건강 은행잎추출물 뇌 건강 기억력 인지력 개선 활력환 기획세트, 30정, 6개",2023.07.17,"전에는 면역력강화에대한 정우성 루테인 먹다가 지금은 눈건강,뇌건강,기억력 개선,,등에 집중적으로 효과있다해서 이것으로 갈아탔어요~ 가격도 전에것보다 더 있구요~
앞숫자 5로 바뀌면서도 시력은 둘다 1.5로 나오도록 좋은데 작업하는 환경 역할도 있고,노안은 어쩔수 없나바요~ㅠㅠ
웬간한 거리는 아무 문제없는데 핸드폰이나 책같은거 보려면 초점 거리가 점점 멀어져서 팔을 쭉 뻗고 볼정도로 되고 눈을 찌프리하기도하고 힘도 들고해요~
건망증이 올정도로 기억력도 많이 떨어져서 이 제품으로 갈아타선 매일 꾸준히 복용중이죠~
인터넷에서 루테인건강식품 먹어도 허튼짓이라고, 눈에 특별한효과가 없다고 하는 얘기를 들었어요~
그래서 먹다가 그얘기를 듣고 한동안 중단했어요~
왜냐하면 그말도 맞는건지 루테인을 1년넘게 먹었는데 첨에 먹기전엔 눈상태가 괜찮았는데 먹으면서 점점 더 안좋아졌으니깐요~
안과에서도 수술은 사기꾼들 짓이고 노안은 노화현상이라 어쩔방법없다하고ᆢㅠㅠ
한동안 중단하다 노안도 차츰 더 하고해서 그래도 눈에 좋다고 하는 루테인인데,나이문제겠지~안먹기보다 낫겠지~하면서 실오리 희망이라도 걸어보려고 다시 먹어보기로했어요~
전엔 몇가지 안되였는데 지금은 루테인광고 가지수가 너무 많아 어떤걸 선택하면 좋을지 한참 고민하다 눈건강,뇌건강에대한것이 있어 바로 이것으로 결정했어요~
간편하게 하루한알,적당한 크기라 물과함께 복용하면 목넘김도 쉬워요~
지금 이 약을주문해서 좀이라도 효과있기를,더 심해지지 않기를 기대하면서 한달 넘게 꼬박꼬박 먹고 있지만 노안이라그런지 특별한 차도도 안 보이고 더 안좋아지고,,,
그래도 어디라도 좋겠지 하며 일단 꾸준히 먹어보려구요~~ㅠㅠ",3.0,z*u ,"['면역', '강화', '대한', '정우성', '루테', '먹다', '지금', '건강', '건강', '기억', '개선', '집중', '효과', '있다', '하다', '갈아타다', '가격', '있다', '숫자', '바뀌다', '시력', '두다', '나오다', '좋다', '작업', '하다', '환경', '역할', '있다', '노안', '없다', '거리', '아무', '문제', '없다', '핸드폰', '같다', '보다', '초점', '거리', '점점', '멀어지다', '뻗다', '정도', '되다', '프리', '기도', '들다', '고해', '건망증', '정도', '기억', '많이', '떨어지다', '제품', '갈아타다', '매일', '꾸준하다', '복용', '중이', '인터넷', '루테', '건강', '식품', '먹다', '특별하다', '효과', '없다', '하다', '얘기', '들다', '그래서', '먹다', '얘기', '듣다', '한동안', '중단', '하다', '왜냐하면', '맞다', '건지다', '루테인', '먹다', '처음', '먹다', '상태', '괜찮다', '먹다', '점점', '좋아지다', '안과', '수술', '사기꾼', '노안', '노화', '현상', '방법', '없다', '한동안', '중단', '하다', '노안', '차츰', '하다', '하다', '그래도', '좋다', '하다', '루테인', '나이', '문제', '겠다', '먹다', '낫다', '하다', '오리', '희망이', '걸다', '보다', '다시', '먹다', '보기', '하다', '가지', '안되다', '지금', '루테인광', '가지', '수가', '너무', '많다', '선택', '하다', '좋다', '한참', '고민', '하다', '건강', '건강', '있다', '바로', '결정', '하다', '간편하다', '하루', '적당하다', '크기', '함께', '복용', '하다', '넘김', '쉽다', '지금', '문해', '효과', '있다', '심해지다', '않다', '기대하다', '넘다', '꼬박꼬박', '먹다', '있다', '노안', '그렇다', '특별하다', '차도', '보이', '안좋다', '그래도', '어디', '좋다', '하다', '일단', '꾸준하다', '먹다', '보다']",면역 강화 대한 정우성 루테 건강 건강 기억 개선 집중 갈아타다 가격 숫자 바뀌다 시력 두다 좋다 작업 환경 역할 노안 거리 문제 핸드폰 초점 거리 점점 멀어지다 뻗다 프리 기도 고해 건망증 기억 떨어지다 제품 갈아타다 꾸준하다 복용 중이 인터넷 루테 건강 식품 특별하다 얘기 얘기 듣다 중단 맞다 건지다 루테인 상태 괜찮다 점점 좋아지다 안과 수술 사기꾼 노안 노화 현상 방법 중단 노안 차츰 좋다 루테인 나이 문제 겠다 낫다 오리 희망이 걸다 다시 안되다 루테인광 많다 선택 좋다 건강 건강 결정 간편하다 적당하다 크기 복용 넘김 쉽다 문해 심해지다 기대하다 넘다 꼬박꼬박 노안 그렇다 특별하다 차도 보이 안좋다 좋다 꾸준하다
299,299,"뉴트리원 루테인지아잔틴164 두뇌 & 눈 건강 은행잎추출물 뇌 건강 기억력 인지력 개선 활력환 기획세트, 30정, 6개",2023.02.26,< 뉴트리원 루테인지아잔틴164 두뇌 & 눈 건강 은행잎추출물 > 전에 먹었던 것과 달리 촉감이 단단하고 먹은 후의 느낌이 상이하여 먹기를 중단하고 있음.,1.0,윤*근 ,"['트리', '루테', '인지', '잔틴', '두뇌', '건강', '은행', '추출', '먹다', '달리', '촉감', '단단하다', '먹다', '후의', '느낌', '상이', '하다', '먹기', '중단', '있다']",트리 루테 인지 잔틴 두뇌 건강 은행 추출 달리 촉감 단단하다 후의 상이 먹기 중단
303,303,"뉴트리원 루테인지아잔틴164 두뇌 & 눈 건강 은행잎추출물 뇌 건강 기억력 인지력 개선 활력환 기획세트, 30정, 6개",2023.07.25,"두번째구매입니다.
아직은 잘모르겠습니다.",3.0,최*옥 ,"['두번째', '구매', '이다', '아직', '모르다']",두번째 구매 아직 모르다
