,product_name,review_date,review_content,review_star,review_writer,tokenized_reviews,replaced_review
389,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2016.12.01,"가격 괜찮네요 배송 보통이에요
브리오 캐나다 감마리놀렌산 보라지오일 달맞이꽃 종자유 ......",2.0,qjsr******,"['가격', '괜찮다', '배송', '보통', '브리', '캐나다', '감마', '리놀렌산', '보라', '오일', '달맞이꽃', '자유']",가격 괜찮다 브리 캐나다 감마 리놀렌산 보라 오일 달맞이꽃 자유
390,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2016.11.16,"가격 싸게 샀어요 배송 빨라요
마눌이 사달라고해서 사줬더니 열심히 먹고 있습니다. 이런건 좋아지는지 아닌지를 알 수가 없으니.... 암튼 좋아지기를 바랄 뿐입니다ㅎㅎ",3.0,jasi*****,"['가격', '싸다', '사다', '배송', '빨르다', '마눌', '달라', '고해', '사주다', '열심히', '먹다', '있다', '좋아지다', '아니다', '수가', '없다', '암튼', '좋아지다', '기르다', '바라다', '뿐이다']",가격 싸다 사다 빨르다 마눌 달라 고해 사주다 좋아지다 아니다 암튼 좋아지다 기르다 바라다 뿐이다
393,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2016.07.21,"가격 괜찮네요 배송 빨라요
신랑 다이어트 한다고 끼니를 잘 걸러서 영양제 주문했어요~ 가격은 조금 비싼감이 없지 않아 있지만, 효과 보면 계속 먹어야겠죠. 배송도 빠르고 감사합니다,.",3.0,a628*****,"['가격', '괜찮다', '배송', '빨르다', '신랑', '다이어트', '하다', '끼니', '자다', '걸다', '양제', '주문', '하다', '가격', '조금', '비싸다', '없다', '않다', '있다', '효과', '보다', '계속', '먹다', '배송', '빠르다', '감사하다']",가격 괜찮다 빨르다 신랑 다이어트 끼니 걸다 양제 주문 가격 비싸다 감사하다
395,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2016.01.11,좋아지는지 모르겠어요 좋아지는지 모르겠어요..ㅜㅜ 열심히 먹거든요 부작용안나는걸 다행으로 여겨야하는건가요...,2.0,아푸지마,"['좋아지다', '모르다', '좋아지다', '모르다', '열심히', '먹다', '부작용', '안나', '는걸', '다행', '여기다', '야하다', '가요']",좋아지다 모르다 좋아지다 모르다 부작용 안나 는걸 여기다 야하다
432,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2021.11.24,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
갱년기 증상으로  힘들어하다  달맞이꽃종자유 보다 성분이 더 탁월하다는 평을 읽고 망설이다 믿고 주문했어요.효과 있으면 계속 복용해볼께요
상세보기",3.0,hanj*****,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '갱년기', '증상', '힘들다', '달맞이꽃', '자유', '보다', '성분', '탁월하다', '읽다', '망설이다', '믿다', '주문', '하다', '효과', '있다', '계속', '복용', '해보다', '상세', '보기']",빨르다 갱년기 증상 힘들다 달맞이꽃 자유 성분 탁월하다 읽다 망설이다 믿다 주문 복용 해보다
442,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2017.02.16,"가격 안 싸네요 배송 빨라요
뉴질랜드산을 먹었었는데 시간이읍어 오프라인에서 구입했어요 먹어바야알겠지만 1정당 함유량도비슷한데 먹든거에비해 가격이 20프로정도 비싼듯하네요",3.0,gye9**,"['가격', '싸다', '배송', '빨르다', '뉴질랜드', '먹다', '시간', '오프라인', '구입', '하다', '먹다', '알다', '정당', '함유량', '비슷하다', '먹다', '비다', '가격', '프로', '정도', '비싸다', '하다']",가격 싸다 빨르다 뉴질랜드 오프라인 구입 알다 정당 함유량 비다 가격 비싸다
452,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2021.08.21,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
며칠 안 먹어보앗는데 갱년기에 도움이 되면 좋겟어요 ㅎ
상세보기
상세보기",3.0,또너,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '며칠', '먹다', '보다', '갱년기', '도움', '되다', '좋다', '상세', '보기', '상세', '보기']",빨르다 갱년기 도움 좋다
477,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2022.08.12,성능 성능이 뛰어나요,2.0,1991***************,"['성능', '성능', '뛰어나다']",뛰어나다
511,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2021.09.06,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
잘모르겠어요",3.0,ggui*****************,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '모르다']",빨르다 모르다
517,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2021.07.13,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,읏짜,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
541,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2021.01.29,"배송 느려요 성능 성능이 별로예요 유통기한 보통이에요
보라지오일이던 달맞이꽃오일이든 갱년기증상에는 다 효능이 있습니다. 다른 회사와 비교 감마리놀렌산 함유율이 10% 높은것 치고 가격이상당히 비싸네요. 다른 회사들 6개월에 40,000원 인데, 이 제품은 2개월에 48,000원 이나 하는 군요. 거기다 가격을 쥐도새도 모르게 30%나 올려놨네요. 3개월분 판매하던 것을 2개월분으로 줄여놨네요. 괘씸해서 이제 이제품은 구입않하려구요. 오일류는 낱개포장보다 보관온도가 중요한거 같아서 이제품보다 저렴한 대용량(6개월분)병포장 구입해서 냉장고에 넣어놓고 먹고 있어요.
상세보기
상세보기
상세보기
상세보기",1.0,sbc5***,"['배송', '느리다', '성능', '성능', '별로', '유통', '기한', '보통', '보라', '오일', '달맞이꽃', '오일', '갱년기', '증상', '효능', '있다', '다른', '회사', '비교', '감마', '리놀렌산', '함유', '높다', '가격', '상당하다', '비싸다', '다른', '회사', '개월', '제품', '개월', '이나', '하다', '거기', '가격', '새다', '모르다', '올리다', '개월', '판매', '하다', '개월', '줄이다', '괘씸하다', '이제', '제품', '구입', '않다', '하다', '일류', '낱개', '포장', '보관', '온도', '중요하다', '같다', '제품', '저렴하다', '용량', '개월', '포장', '구입', '하다', '냉장고', '넣다', '먹다', '있다', '상세', '보기', '상세', '보기', '상세', '보기', '상세', '보기']",느리다 별로 보라 오일 달맞이꽃 오일 갱년기 증상 효능 회사 비교 감마 리놀렌산 함유 높다 가격 상당하다 비싸다 회사 제품 가격 새다 모르다 올리다 판매 줄이다 괘씸하다 제품 구입 일류 낱개 보관 온도 중요하다 제품 저렴하다 용량 구입 냉장고 넣다
557,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2020.06.15,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,yglo*******,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
558,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2020.05.12,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
효과는 잘 모르겠어요",3.0,쿨가이,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '효과', '자다', '모르다']",빨르다 모르다
566,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2020.04.02,배송 느려요 성능 보통이에요 유통기한 기한이 넉넉해요,3.0,qaz1***,"['배송', '느리다', '성능', '보통', '유통', '기한', '기한', '넉넉하다']",느리다
571,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2020.02.21,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
아직사용전이라",3.0,nj47**,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '아직', '사용', '전이']",아직 전이
589,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2019.08.11,배송 보통이에요 성능 보통이에요 유통기한 기한이 넉넉해요,3.0,kims*****,"['배송', '보통', '성능', '보통', '유통', '기한', '기한', '넉넉하다']",
607,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2019.02.15,"배송 느려요 맛 보통이에요 유통기한 보통이에요 효과 효과 좋아요
배송이 좀 느렸어요",3.0,yonu****,"['배송', '느리다', '보통', '유통', '기한', '보통', '효과', '효과', '좋다', '배송', '느리다']",느리다 좋다 느리다
627,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2017.11.12,"가격 괜찮네요 배송 빨라요
좋아요 잘 쓸게요",3.0,gong*****,"['가격', '괜찮다', '배송', '빨르다', '좋다', '자다', '쓸다']",가격 괜찮다 빨르다 좋다 쓸다
636,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2017.09.06,가격 안 싸네요 배송 보통이에요,3.0,jsna**,"['가격', '싸다', '배송', '보통']",가격 싸다
639,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2017.08.18,가격 괜찮네요 배송 보통이에요,3.0,alth****,"['가격', '괜찮다', '배송', '보통']",가격 괜찮다
680,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2017.02.15,가격 괜찮네요 배송 보통이에요,3.0,dodn**,"['가격', '괜찮다', '배송', '보통']",가격 괜찮다
684,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2017.01.20,가격 괜찮네요 배송 보통이에요,3.0,kimt*****,"['가격', '괜찮다', '배송', '보통']",가격 괜찮다
699,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2016.12.18,가격 싸게 샀어요 배송 빨라요,1.0,ampm*****,"['가격', '싸다', '사다', '배송', '빨르다']",가격 싸다 사다 빨르다
713,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2016.08.29,"가격 괜찮네요 배송 빨라요
계속먹어봐야알겠죠",3.0,gott******,"['가격', '괜찮다', '배송', '빨르다', '계속', '먹다', '보다', '알다']",가격 괜찮다 빨르다 알다
718,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2016.06.07,"가격 괜찮네요 배송 보통이에요
잘먹고있어요",3.0,ann1***,"['가격', '괜찮다', '배송', '보통', '먹다']",가격 괜찮다
724,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2016.03.09,"가격 싸게 샀어요 배송 빨라요
굿",3.0,mmx5**,"['가격', '싸다', '사다', '배송', '빨르다']",가격 싸다 사다 빨르다
731,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2014.07.30,그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요 그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요 그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요그냥그래요,3.0,yja6***,"['그냥', '그렇다', '그냥', '그렇다', '그냥', '그렇다']",그렇다 그렇다 그렇다
751,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2023.02.25,"유통기한 보통이에요 포장상태 포장이 깔끔해요 효과 보통이에요
국산 보다 저렴해서  먹어보니  함량이적어인지   조금은  약한것
같았어요!
크기는 먹기에  너무좋았어요!",3.0,1961***************,"['유통', '기한', '보통', '포장', '상태', '포장', '깔끔하다', '효과', '보통', '국산', '보다', '저렴하다', '먹다', '보다', '함량', '이적', '조금', '약하다', '같다', '크기', '먹기', '너무', '좋다']",상태 깔끔하다 국산 저렴하다 함량 이적 약하다 크기 먹기 좋다
754,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2022.07.03,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
먹어봐도 좋다고 할수도 없네요.그렇다고 안좋다고 할수있나요?",3.0,호야,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '먹다', '보다', '좋다', '하다', '없다', '그렇다고', '안좋다', '하다']",좋다 그렇다고 안좋다
761,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2023.04.22,"유통기한 보통이에요 포장상태 보통이에요 효과 보통이에요
꾸준히 먹고  있어요  효과가  있을거라  믿어요  어취는  엄ㅅ어서  좋아여",3.0,sims****,"['유통', '기한', '보통', '포장', '상태', '보통', '효과', '보통', '꾸준하다', '먹다', '있다', '효과', '있다', '믿다', '어취', '어서', '좋다']",상태 꾸준하다 믿다 어취 좋다
783,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2022.06.14,"배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요
사실 알이 이렇게 큰건 원치 않았는데 ㅎ
앞전에 먹은 오메가3는 알이 작았거든요
어쨋든 6개월치 사놓으니 든든합니다
알이 커서 목넘김이 좀 그래요
상세보기",3.0,hkju****,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '기한', '넉넉하다', '사실', '이렇게', '크다', '않다', '앞전', '먹다', '오메가', '늘다', '작다', '어쨋', '개월치', '사다', '든든하다', '커서', '넘김', '그렇다', '상세', '보기']",빨르다 뛰어나다 이렇게 크다 앞전 오메가 늘다 작다 어쨋 개월치 사다 든든하다 커서 넘김 그렇다
836,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2022.04.22,"배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요
이상품은 저희같 노인들에게는 필수저인
오메가3를 복용하려고 구매을 했ㄷ는데요
제가 냄새에민감 한지는모르겠으나 비린내
가 너무많이남니다 그래서현재 포장지를 오픈
해놓고 먹지를않고 한개는 미봉된상태로그대로
보관 하고 있습니다 어떻게하면 좋을지 부탁드립
니다 건강하세요 감사합니다 이정길
더보기",3.0,감사,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '기한', '넉넉하다', '상품', '저희', '같다', '노인', '필수', '오메가', '복용', '하다', '매다', '하다', '늘다', '냄새', '민감', '한지', '모르다', '비리다', '가다', '너무', '많이', '남다', '그래서', '현재', '포장', '지르다', '오픈', '하다', '먹다', '않다', '밉다', '되다', '상태', '로그', '보관', '하다', '있다', '좋다', '부탁드리다', '건강하다', '감사하다', '이정길', '보기']",빨르다 뛰어나다 상품 노인 필수 오메가 복용 매다 늘다 냄새 민감 한지 모르다 비리다 남다 지르다 오픈 밉다 상태 로그 보관 좋다 부탁드리다 건강하다 감사하다 이정길
840,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2022.01.16,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
성능은 아직 많이 먹지않아서 잘 모르겠고,한알씩 포장되어 있지않아 공기노출이 좀걱정되네요.
상세보기",3.0,song********,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다', '성능', '아직', '많이', '먹다', '않다', '자다', '모르다', '포장', '되어다', '있다', '않다', '노출', '걱정', '되다', '상세', '보기']",빨르다 아직 모르다 노출 걱정
884,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2022.12.31,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 보통이에요
처음구매한제품이라 일단먹어보구 재구매하려구요타제품보다는 배송

이 느리네요",3.0,kkl3***,"['유통', '기한', '기한', '넉넉하다', '포장', '상태', '포장', '깔끔하다', '효과', '보통', '처음', '제품', '일단', '먹다', '보구', '재다', '하다', '제품', '배송', '느리다']",상태 깔끔하다 제품 보구 재다 제품 느리다
1005,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2022.09.11,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,si07**,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
1027,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2022.06.24,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,1587***************,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
1108,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2022.01.13,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
빈ㆍㄴㆍㅅㄴㅅㄴㅅㄴ",3.0,skja***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
1113,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2022.01.10,배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요,3.0,warp****,"['배송', '빨르다', '성능', '보통', '유통', '기한', '기한', '넉넉하다']",빨르다
1123,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2021.12.15,"배송 빨라요 성능 보통이에요 유통기한 보통이에요
알이 사진상보다 커서 먹는데 불편합니다",3.0,cool****,"['배송', '빨르다', '성능', '보통', '유통', '기한', '보통', '사진', '커서', '먹다', '불편하다']",빨르다 사진 커서 불편하다
1127,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2021.12.03,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
성능은 잘 모르겠고 먹는다고 티가 날까요? ",3.0,succ******,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '성능', '자다', '모르다', '먹다', '날다']",모르다 날다
1141,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2021.11.04,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,cjta******,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
1158,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2021.09.27,배송 보통이에요 성능 보통이에요 유통기한 보통이에요,3.0,loku**,"['배송', '보통', '성능', '보통', '유통', '기한', '보통']",
1176,캐나다 6개월분 알티지오메가3 1200 비타민D rTG 오메가3 콜레스테롤,2021.08.01,"배송 보통이에요 성능 성능이 별로예요 유통기한 기한이 짧아요
아직",1.0,1373***************,"['배송', '보통', '성능', '성능', '별로', '유통', '기한', '기한', '짧다', '아직']",별로 짧다 아직
