,Unnamed: 0,product_name,review_date,review_content,review_star,review_writer,reveiw_replaced,replaced_review,문장벡터화
208,208,"아이클리어 루테인지아잔틴, 30정, 3개",2023.04.23,눈에 좋은 제품을 찾는데 정보가 부족한 분들께 도움이 되었으면 합니다\n\n1. 루테인은 뭐고 지아잔틴은 뭐지?\n궁금했다. 루테인은 눈에 좋다는 말 많이 들어서 익숙하다. 그럼 지아잔틴은 뭐지?\n찾아봤다. 루테인과 지아잔틴은 망막 중심부인 황반에 중요한 성분으로 체내 생성이 되지 않기 때문에 외부 섭취가 필요하다고 한다. 더불어 이제품에는 없는 아스타잔틴이라는 물질도 있는데 망막모세 혈관 혈류량 증가를 확인하여 눈의 피로도 개선에 도움을 준다고 한다고하니 참조하자\n\n2. 왠만하면 루테인 지아잔틴 아스타잔틴이 모두 포함된 제품을 먹자\n루테인지아잔틴 루테인아스타잔틴 이렇게 구성되는 경우가 많은데 이두제품을 섞어 먹을 경우 루테인 과다복용이 될수도 있다. 아쉽게도 이제품에는 아스타잔틴이 없는듯 하다.\n\n3. 루테인지아잔틴 최대함량이 24mg인지 확인하자. 비율도 중요하다\n루테인과 지아잔틴이 5대1 제품이 가장 좋다고 한다. 이제품은 루테인 10대1 제품으로 저가형 제품이고 효과도 5대1 제품 대비 좋지 않을것으로 보인다. 함량도 루테인 18.18mg 지아잔틴 1.818mg이다.\n\n4. 루테인과 지아잔틴은 꼭 함께 먹는것이 좋다\n따로 파는 제품은 거르고 함께 있는 제품을 먹자,3.0,전*찬 ,"['좋다', '제품', '찾다', '정보', '부족하다', '도움', '되어다', '하다', '루테인', '지아', '잔틴', '궁금하다', '루테인', '좋다', '많이', '들어서다', '익숙하다', '그렇다', '지아', '잔틴', '찾아보다', '루테인', '지아', '잔틴', '망막', '중심부', '황반', '중요하다', '성분', '체내', '되다', '않다', '때문', '외부', '섭취', '필요하다', '하다', '더불다', '제품', '없다', '아스타', '잔틴', '물질', '있다', '망막', '모세', '혈관', '류량', '증가', '확인', '하다', '피로', '개선', '도움', '주다', '하다', '하니', '참조', '하다', '왠만하다', '루테', '지아', '잔틴', '아스타', '잔틴', '모두', '포함', '되다', '제품', '먹다', '루테', '인지', '잔틴', '루테', '아스타', '잔틴', '이렇게', '구성', '되다', '경우', '많다', '제품', '섞다', '먹다', '경우', '루테', '과다복용', '되다', '있다', '아쉽다', '제품', '아스타', '잔틴', '없다', '하다', '루테', '인지', '잔틴', '최대', '함량', '인지', '확인', '하다', '비율', '중요하다', '루테인', '지아', '잔틴', '대다', '제품', '가장', '좋다', '하다', '제품', '루테', '대다', '제품', '가형', '제품', '효과', '대다', '제품', '대비', '좋다', '않다', '보이다', '함량', '루테', '지아', '잔틴', '루테인', '지아', '잔틴', '함께', '먹다', '좋다', '따로', '팔다', '제품', '거르', '함께', '있다', '제품', '먹다']",좋다 제품 정보 부족하다 도움 루테인 지아 잔틴 궁금하다 루테인 좋다 들어서다 익숙하다 그렇다 지아 잔틴 찾아보다 루테인 지아 잔틴 망막 중심부 황반 중요하다 성분 체내 외부 섭취 필요하다 더불다 제품 아스타 잔틴 물질 망막 모세 혈관 류량 증가 확인 피로 개선 도움 하니 참조 왠만하다 루테 지아 잔틴 아스타 잔틴 포함 제품 루테 인지 잔틴 루테 아스타 잔틴 이렇게 구성 많다 제품 섞다 루테 과다복용 아쉽다 제품 아스타 잔틴 루테 인지 잔틴 최대 함량 인지 확인 비율 중요하다 루테인 지아 잔틴 대다 제품 가장 좋다 제품 루테 대다 제품 가형 제품 대다 제품 대비 좋다 보이다 함량 루테 지아 잔틴 루테인 지아 잔틴 좋다 따로 팔다 제품 거르 제품,"[(19, 5), (26, 2), (27, 7), (35, 12), (67, 1), (68, 1), (69, 1), (70, 1), (71, 1), (72, 1), (73, 1), (74, 1), (75, 3), (76, 1), (77, 1), (78, 1), (79, 1), (80, 5), (81, 1), (82, 1), (83, 2), (84, 1), (85, 1), (86, 1), (87, 1), (88, 1), (89, 1), (90, 1), (91, 1), (92, 1), (93, 4), (94, 1), (95, 1), (96, 1), (97, 1), (98, 3), (99, 13), (100, 1), (101, 1), (102, 2), (103, 1), (104, 7), (105, 1), (106, 1), (107, 1), (108, 1), (109, 1), (110, 1), (111, 1), (112, 1), (113, 1), (114, 2), (115, 1), (116, 2), (117, 1)]"
234,234,"고려은단 루테인 지아잔틴 아스타잔틴 300mg, 30정, 6개",2023.08.06,약이 너무 말랑하여 터져서 손에 빨간물들고 놀라고..\n일단 냉장고에 넣고 먹기는 하는데 다음에는\n좀더 괜찮은 병에 들어 있는 걸루 구매 하려고 합니다.\n효과는 그냥 모르고 먹네요.,3.0,정*구 ,"['너무', '말랑하다', '터지다', '빨갛다', '물들다', '놀라다', '일단', '냉장고', '넣다', '먹기', '하다', '다음', '좀더', '괜찮다', '들다', '있다', '걸루', '구매', '하다', '하다', '효과', '그냥', '모르다', '먹다']",말랑하다 터지다 빨갛다 물들다 놀라다 냉장고 넣다 먹기 괜찮다 걸루 구매 모르다,"[(12, 1), (28, 1), (118, 1), (119, 1), (120, 1), (121, 1), (122, 1), (123, 1), (124, 1), (125, 1), (126, 1), (127, 1)]"
235,235,"고려은단 루테인 지아잔틴 아스타잔틴 300mg, 30정, 3개",2022.10.05,늘 먹던 제품인데 이번에는 캡슐안에서 알약에 붙어서 잘 안 떨어지더라구요 ㅠㅠ\n한 알을 꾹 누르면 알약이 나와야 하는데\n케이스에 붙어서 잘 떨어지지 않고 손으로 잡아 빼야 떨어져요..\n더운 여름에 보관이 잘못된게 아닌지..하는 생각이 들었어요. 유통기한은 많이 남았는데 살짝 찜찜하지만 먹던거라 그냥 먹어요~ㅠㅠ,3.0,친절한여니 ,"['먹다', '제품', '이번', '캡슐', '알약', '붙다', '자다', '떨어지다', '하다', '누르다', '알약', '나오다', '하다', '케이스', '붙다', '자다', '떨어지다', '않다', '잡다', '빼다', '떨어지다', '덥다', '여름', '보관', '되다', '아니다', '하다', '생각', '들다', '유통', '기한', '많이', '남다', '살짝', '찜찜하다', '먹다', '그냥', '먹다']",제품 캡슐 알약 붙다 떨어지다 누르다 알약 케이스 붙다 떨어지다 잡다 빼다 떨어지다 덥다 보관 아니다 남다 찜찜하다,"[(21, 1), (29, 1), (35, 1), (54, 1), (128, 1), (129, 1), (130, 1), (131, 3), (132, 1), (133, 2), (134, 2), (135, 1), (136, 1), (137, 1)]"
239,239,"고려은단 루테인 지아잔틴 아스타잔틴 300mg, 30정, 3개",2023.06.04,"캡슐을 투명플라스틱에서 분리하여 꺼낼때. 잘안나와 꺼낼려고 누르다가 캡슐 터져서 붉은 내용물이 침대, 이불, 몸 등에튀어서 지워지지않고 약을낭비함.,,캡슐 투명케이스를 크게만들던가 연하게 만들던가 개선필요함.",3.0,Swani ,"['캡슐', '투명', '플라스틱', '분리', '하다', '꺼내다', '잘알다', '꺼내다', '누르다', '캡슐', '터지다', '붉다', '내용물', '침대', '이불', '튀어', '지워지다', '않다', '낭비하다', '캡슐', '투명', '케이스', '크게', '만들다', '연하다', '만들다', '개선', '필요하다']",캡슐 투명 플라스틱 분리 꺼내다 잘알다 꺼내다 누르다 캡슐 터지다 붉다 내용물 침대 이불 튀어 지워지다 낭비하다 캡슐 투명 케이스 크게 만들다 연하다 만들다 개선 필요하다,"[(21, 3), (69, 1), (112, 1), (127, 1), (129, 1), (137, 1), (138, 2), (139, 1), (140, 1), (141, 2), (142, 1), (143, 1), (144, 1), (145, 1), (146, 1), (147, 1), (148, 1), (149, 1), (150, 2), (151, 1), (152, 1)]"
243,243,"고려은단 루테인 지아잔틴 아스타잔틴 300mg, 30정, 2개",2022.03.26,"보통 눈 영양제 보면, 루테인: 지아잔틴 비율을 5:1로 잡아서,\n루테인 20mg 지아잔틴4mg씩은 함유 되어 있던데,\n여기는 루테인18.18mg에 지아잔틴1.82mg으로 함량도 조금씩 적을뿐만 아니라, 비율도 10:1정도 네요.\n아스타잔틴 하루 권장량이 4~8mg 이고, 이 제품이 6mg으로 보통 다른 제품들 (4mg)보다 높은거 보고, 로켓이 안 됨에도 얼른 구매 했는데 받아보고 읽으니, 지아잔틴은 다른 제품의 반도 안 들어 있었네요 ㅎㅎ\n꼼꼼하게 읽어보고 샀어야 했는데 제가 바보죠.",2.0,김*미 ,"['보통', '양제', '보다', '루테', '지아', '잔틴', '비율', '잡다', '루테', '지아', '잔틴', '함유', '되어다', '있다', '여기다', '루테', '지아', '잔틴', '함량', '조금씩', '아니다', '비율', '정도', '아스타', '잔틴', '하루', '장량', '제품', '보통', '다른', '제품', '보다', '높다', '보고', '로켓', '되다', '얼른', '구매', '하다', '받다', '보고', '읽다', '지아', '잔틴', '다른', '제품', '반도', '들다', '있다', '꼼꼼하다', '읽다', '보고', '사다', '하다', '바보']",양제 루테 지아 잔틴 비율 잡다 루테 지아 잔틴 함유 여기다 루테 지아 잔틴 함량 조금씩 아니다 비율 아스타 잔틴 장량 제품 제품 높다 로켓 얼른 구매 읽다 지아 잔틴 제품 반도 꼼꼼하다 읽다 사다 바보,"[(27, 3), (35, 3), (54, 1), (88, 2), (93, 1), (99, 5), (104, 4), (114, 1), (120, 1), (135, 1), (153, 1), (154, 1), (155, 1), (156, 1), (157, 1), (158, 1), (159, 1), (160, 1), (161, 1), (162, 2), (163, 1), (164, 1), (165, 1)]"
256,256,"고려은단 루테인 지아잔틴 아스타잔틴 300mg, 30정, 3개",2022.08.25,한통을 먹다보니 새로 뜯어도 알약이 끈적끈적하면서 반짝이는 느낌도 없고 캡슐에 붙어 잘 빠지지않음\n밀봉이 안된건지 매우 찝찝함\n유통기한도 많이 남았는데 ...\n고객상담실에 문의하니 습도가 높아서 그렇다고함\n말이 되나?\n상담원이 인체에 해가 없다며 그냥 먹으라고 말함,1.0,웃는눈 ,"['먹다', '보다', '새롭다', '뜯다', '알약', '끈적끈적하다', '반짝이다', '느낌', '없다', '캡슐', '붙다', '자다', '빠지다', '않다', '밀봉', '안되다', '건지다', '매우', '찝찝하다', '유통', '기한', '많이', '남다', '고객', '담다', '문의', '하다', '습도', '높다', '그렇다고', '되다', '상담', '인체', '없다', '그냥', '먹다', '말함']",새롭다 알약 끈적끈적하다 반짝이다 캡슐 붙다 빠지다 밀봉 안되다 건지다 찝찝하다 남다 고객 담다 문의 습도 높다 그렇다고 상담 인체 말함,"[(21, 1), (128, 1), (133, 1), (134, 1), (154, 1), (166, 1), (167, 1), (168, 1), (169, 1), (170, 1), (171, 1), (172, 1), (173, 1), (174, 1), (175, 1), (176, 1), (177, 1), (178, 1), (179, 1), (180, 1), (181, 1)]"
376,376,"JW중외제약 루테인지아잔틴 오메가3 총4박스 총1050mgx120캡슐 EPA DHA 함유유지 루테인 지아잔틴 오메가 오메가-3 눈영양제 눈건강, 30정, 4개",2022.05.08,가격이 3통과 4통의 가격이 차이가\n많음 3통의1개의 가격이 4통의 1개\n가격이 더 비쌈\n처음 잘못선택햇음 반납후 3통으로\n교체구입할려햇으나 반품비가 비쌈,3.0,정*춘 ,"['가격', '통과', '가격', '차이', '많다', '가격', '가격', '비싸다', '처음', '잘못', '선택', '햇음', '반납', '교체', '구입', '하다', '반품', '비싸다']",가격 통과 가격 차이 많다 가격 가격 비싸다 잘못 선택 햇음 반납 교체 구입 반품 비싸다,"[(5, 2), (37, 4), (82, 1), (182, 1), (183, 1), (184, 1), (185, 1), (186, 1), (187, 1), (188, 1), (189, 1), (190, 1)]"
382,382,"JW중외제약 루테인지아잔틴 오메가3 총1박스 총1050mgx30캡슐 EPA DHA 함유유지 루테인 지아잔틴 오메가 오메가-3 눈영양제 눈건강, 30정, 1개",2021.08.06,개인적으로 저에게는 조금안맞아요ᆢ약간비린내가 올라와요ᆢ그래서 밥먹고바로 먹어보니 괜찮아요~,3.0,이*희 ,"['개인', '조금', '맞다', '약간', '비리다', '올라오다', '그래서', '먹다', '바로', '먹다', '보다', '괜찮다']",개인 맞다 비리다 올라오다 괜찮다,"[(119, 1), (191, 1), (192, 1), (193, 1), (194, 1)]"
386,386,"JW중외제약 루테인지아잔틴 오메가3 총1박스 총1050mgx30캡슐 EPA DHA 함유유지 루테인 지아잔틴 오메가 오메가-3 눈영양제 눈건강, 30정, 1개",2021.09.01,몸에 좋다니까 열심히 먹어볼게요,3.0,김*범 ,"['좋다', '열심히', '먹다', '보다']",좋다,"[(19, 1)]"
397,397,"일양약품 일양 루테인밀크씨슬 900mg 30캡슐 1개월분, 30정, 1개",2022.04.29,요기배송하시시는 기사님은 배송 문구를안보시는지 문자도 없거니와 부재시 문앞이라고 해도 멋대로 경비실에 두고가시네요~ㅠ 쿠팡을들여봐야 알게끔 돼어있네요 저도 퀵하는 사람인지라 바쁘신거는 알겠지만 고객요청사항에\n따라줘야하는 지침을 안지키시네요~,1.0,권*수 ,"['배송', '하시시', '기사', '배송', '문구', '보다', '문자', '없다', '부다', '해도', '멋대로', '경비실', '두다', '쿠팡', '들이다', '보다', '알다', '돼다', '퀵하', '사람인', '지라', '바쁘다', '알다', '고객', '요청', '사항', '따르다', '야하다', '지침', '지키다']",하시시 기사 문구 문자 부다 해도 멋대로 경비실 두다 쿠팡 들이다 알다 돼다 퀵하 사람인 지라 바쁘다 알다 고객 요청 야하다 지침 지키다,"[(46, 1), (55, 2), (167, 1), (195, 1), (196, 1), (197, 1), (198, 1), (199, 1), (200, 1), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (206, 1), (207, 1), (208, 1), (209, 1), (210, 1), (211, 1), (212, 1), (213, 1)]"
404,404,"[일양약품] 일양 루테인밀크씨슬 900mg 30캡슐 4개월분 눈건강 간건강, 30정, 4개",2023.05.01,싼게 비지떡(그다지 싸지도 않지만)\n눈이 더 나빠진듯,2.0,강*영 ,"['싸다', '비지', '그다지', '싸다', '않다', '나빠지다']",싸다 비지 그다지 싸다 나빠지다,"[(214, 1), (215, 1), (216, 1), (217, 2)]"
405,405,"[일양약품] 일양 루테인밀크씨슬 900mg 30캡슐 6박스 6개월분 눈건강 간건강, 30정, 6개",2022.10.20,건강한눈과간을위하여,3.0,박*용 ,"['건강', '한눈']",건강 한눈,"[(6, 1), (218, 1)]"
408,408,"[일양약품] 일양 루테인밀크씨슬 900mg 30캡슐 6박스 6개월분 눈건강 간건강, 30정, 6개",2023.05.17,까,3.0,김*기 ,['끄다'],끄다,"[(219, 1)]"
422,422,"일양약품 일양 루테인 프로 500mg 60캡슐 4개월분 일양 눈건강, 60정, 2개",2023.01.31,알이 작고 매끄러워서 복용하기 편해요 효과는 먹어봐야알겠네요,3.0,김*이 ,"['작고', '매끄럽다', '복용', '하다', '편하다', '효과', '먹다', '보다', '알다']",작고 매끄럽다 복용 편하다 알다,"[(14, 1), (55, 1), (220, 1), (221, 1), (222, 1)]"
479,479,"아이클리어 루테인지아잔틴, 30정, 3개",2023.04.23,눈에 좋은 제품을 찾는데 정보가 부족한 분들께 도움이 되었으면 합니다\n\n1. 루테인은 뭐고 지아잔틴은 뭐지?\n궁금했다. 루테인은 눈에 좋다는 말 많이 들어서 익숙하다. 그럼 지아잔틴은 뭐지?\n찾아봤다. 루테인과 지아잔틴은 망막 중심부인 황반에 중요한 성분으로 체내 생성이 되지 않기 때문에 외부 섭취가 필요하다고 한다. 더불어 이제품에는 없는 아스타잔틴이라는 물질도 있는데 망막모세 혈관 혈류량 증가를 확인하여 눈의 피로도 개선에 도움을 준다고 한다고하니 참조하자\n\n2. 왠만하면 루테인 지아잔틴 아스타잔틴이 모두 포함된 제품을 먹자\n루테인지아잔틴 루테인아스타잔틴 이렇게 구성되는 경우가 많은데 이두제품을 섞어 먹을 경우 루테인 과다복용이 될수도 있다. 아쉽게도 이제품에는 아스타잔틴이 없는듯 하다.\n\n3. 루테인지아잔틴 최대함량이 24mg인지 확인하자. 비율도 중요하다\n루테인과 지아잔틴이 5대1 제품이 가장 좋다고 한다. 이제품은 루테인 10대1 제품으로 저가형 제품이고 효과도 5대1 제품 대비 좋지 않을것으로 보인다. 함량도 루테인 18.18mg 지아잔틴 1.818mg이다.\n\n4. 루테인과 지아잔틴은 꼭 함께 먹는것이 좋다\n따로 파는 제품은 거르고 함께 있는 제품을 먹자,3.0,전*찬 ,"['좋다', '제품', '찾다', '정보', '부족하다', '도움', '되어다', '하다', '루테인', '지아', '잔틴', '궁금하다', '루테인', '좋다', '많이', '들어서다', '익숙하다', '그렇다', '지아', '잔틴', '찾아보다', '루테인', '지아', '잔틴', '망막', '중심부', '황반', '중요하다', '성분', '체내', '되다', '않다', '때문', '외부', '섭취', '필요하다', '하다', '더불다', '제품', '없다', '아스타', '잔틴', '물질', '있다', '망막', '모세', '혈관', '류량', '증가', '확인', '하다', '피로', '개선', '도움', '주다', '하다', '하니', '참조', '하다', '왠만하다', '루테', '지아', '잔틴', '아스타', '잔틴', '모두', '포함', '되다', '제품', '먹다', '루테', '인지', '잔틴', '루테', '아스타', '잔틴', '이렇게', '구성', '되다', '경우', '많다', '제품', '섞다', '먹다', '경우', '루테', '과다복용', '되다', '있다', '아쉽다', '제품', '아스타', '잔틴', '없다', '하다', '루테', '인지', '잔틴', '최대', '함량', '인지', '확인', '하다', '비율', '중요하다', '루테인', '지아', '잔틴', '대다', '제품', '가장', '좋다', '하다', '제품', '루테', '대다', '제품', '가형', '제품', '효과', '대다', '제품', '대비', '좋다', '않다', '보이다', '함량', '루테', '지아', '잔틴', '루테인', '지아', '잔틴', '함께', '먹다', '좋다', '따로', '팔다', '제품', '거르', '함께', '있다', '제품', '먹다']",좋다 제품 정보 부족하다 도움 루테인 지아 잔틴 궁금하다 루테인 좋다 들어서다 익숙하다 그렇다 지아 잔틴 찾아보다 루테인 지아 잔틴 망막 중심부 황반 중요하다 성분 체내 외부 섭취 필요하다 더불다 제품 아스타 잔틴 물질 망막 모세 혈관 류량 증가 확인 피로 개선 도움 하니 참조 왠만하다 루테 지아 잔틴 아스타 잔틴 포함 제품 루테 인지 잔틴 루테 아스타 잔틴 이렇게 구성 많다 제품 섞다 루테 과다복용 아쉽다 제품 아스타 잔틴 루테 인지 잔틴 최대 함량 인지 확인 비율 중요하다 루테인 지아 잔틴 대다 제품 가장 좋다 제품 루테 대다 제품 가형 제품 대다 제품 대비 좋다 보이다 함량 루테 지아 잔틴 루테인 지아 잔틴 좋다 따로 팔다 제품 거르 제품,"[(19, 5), (26, 2), (27, 7), (35, 12), (67, 1), (68, 1), (69, 1), (70, 1), (71, 1), (72, 1), (73, 1), (74, 1), (75, 3), (76, 1), (77, 1), (78, 1), (79, 1), (80, 5), (81, 1), (82, 1), (83, 2), (84, 1), (85, 1), (86, 1), (87, 1), (88, 1), (89, 1), (90, 1), (91, 1), (92, 1), (93, 4), (94, 1), (95, 1), (96, 1), (97, 1), (98, 3), (99, 13), (100, 1), (101, 1), (102, 2), (103, 1), (104, 7), (105, 1), (106, 1), (107, 1), (108, 1), (109, 1), (110, 1), (111, 1), (112, 1), (113, 1), (114, 2), (115, 1), (116, 2), (117, 1)]"
