,product_name,review_date,review_content,review_star,review_writer,reveiw_replaced,stopremoved_reviews,okt_reviews,mecab_reviews,replaced_review
299,"뉴트리원 루테인지아잔틴164 두뇌 & 눈 건강 은행잎추출물 뇌 건강 기억력 인지력 개선 활력환 기획세트, 30정, 6개",2023.02.26,< 뉴트리원 루테인지아잔틴164 두뇌 & 눈 건강 은행잎추출물 > 전에 먹었던 것과 달리 촉감이 단단하고 먹은 후의 느낌이 상이하여 먹기를 중단하고 있음.,1.0,윤*근 ,< 뉴트리원 루테인지아잔틴164 두뇌 & 눈 건강 은행잎추출물 > 전에 먹었던 것과 달리 촉감이 단단하고 먹은 후의 느낌이 상이하여 먹기를 중단하고 있음.,< 뉴트리원 루테인지아잔틴164 두뇌 & 눈 건강 은행잎추출물 > 전에 먹었던 것과 달리 촉감이 단단하고 먹은 후의 느낌이 상이하여 먹기를 중단하고 있음.,트리 루테 잔틴 두뇌 건강 은행 추출 물 달리 촉감 후의 느낌 상이 먹기 중단 인지,트리 잔틴 두뇌 건강 은행 추출 물 달리 촉감 느낌 먹 중단 인지,트리 잔틴 두뇌 건강 은행 추출 물 달리 촉감 느낌 먹 중단 인지
315,"바이탈 수퍼 알부민 엑스트라 강도 퓨어 내츄럴 1 500mg 200 캡슐 슈퍼 엑스트라 골드, 1병, 200 소프트젤, 200정",2022.04.12,"뚜껑여는순간 밀폐되어있지도 않아서 찝찝해요
뜯었던거 판매한거같아요",1.0,최* ,"뚜껑여는순간 밀폐되어있지도 않아서 찝찝해요
뜯었던거 판매한거같아요",뚜껑여는순간 밀폐되어있지도 않아서 찝찝해요 뜯었던거 판매한거같아요,뚜껑 순간 밀폐 판매,뚜껑 순간 밀폐 판매,뚜껑 순간 밀폐 판매
342,"숫사슴 녹혈 뉴질랜드 숫사슴녹혈 100% 피로회복제 피로회복영양제 만성피로 영양제 만성피로회복제 자양강장제 사은품증정, 1박스 2개월분 사은품증정",2022.08.31,"오늘로6개 째 먹었는데 회사츨근 커피를 먹으려고 하는데 신물이 약간 넘어왔는데 딱 숫사슴그거만 넘어옮 윽..
그러고 머리가 더 무거워진거 같음
(아침에 다른거랑 해서 5개먹었는데 그거만 넘어오냐)~윽..",1.0,김*두 ,"오늘로6개 째 먹었는데 회사츨근 커피를 먹으려고 하는데 신물이 약간 넘어왔는데 딱 숫사슴그거만 넘어옮 윽..
그러고 머리가 더 무거워진거 같음
(아침에 다른거랑 해서 5개먹었는데 그거만 넘어오냐)~윽..",오늘로6개 째 먹었는데 회사츨근 커피를 먹으려고 신물이 넘어왔는데 숫사슴그거만 넘어옮 윽.. 그러고 머리가 더 무거워진거 같음 (아침에 다른거랑 5개먹었는데 그거만 넘어오냐)~윽..,오늘 회사 츨근 커피 신물 사슴 그거 넘어옮 머리 아침 다르다,오늘 회사 츨근 커피 신물 사슴 그거 넘 옮 머리 아침 다르,오늘 회사 츨근 커피 신물 사슴 그거 넘 옮 머리 아침 다르
383,"코어업 활력 충전, 60정, 3개",2020.05.12,"차이 없음
아예 비타민C 먹는것이 나을것
홍보만 요란
최근에 구입한 영양제 중에 가장 후회막급. ㅜ",1.0,갓잡은생선 ,"차이 없음
아예 비타민C 먹는것이 나을것
홍보만 요란
최근에 구입한 영양제 중에 가장 후회막급. ㅜ",차이 없음 아예 비타민C 먹는것이 나을것 홍보만 요란 최근에 구입한 영양제 중에 가장 후회막급. ㅜ,차이 아예 비타민 홍보 요란 최근 구입 양제 가장 후회,차이 아예 비타민 홍보 요란 최근 구입 양제 가장 후회,차이 아예 비타민 홍보 요란 최근 구입 양제 가장 후회
456,"암웨이 칼맥 디 멀티비타민 무기질, 360정, 1개",2022.04.15,"정품이 맞는지 의심이 드네요...
암웨이에서 꾸준히 먹는 제품인데...
몇천원 싸길래 구매를 했는데....
정품은 제품입구에 봉해져서, 뜯어서 먹기 시작하느네.
이건 완전개봉되서 왔네요.",1.0,오*민 ,"정품이 맞는지 의심이 드네요...
암웨이에서 꾸준히 먹는 제품인데...
몇천원 싸길래 구매를 했는데....
정품은 제품입구에 봉해져서, 뜯어서 먹기 시작하느네.
이건 완전개봉되서 왔네요.","정품이 맞는지 의심이 드네요... 암웨이에서 먹는 제품인데... 몇천원 싸길래 구매를 했는데.... 정품은 제품입구에 봉해져서, 뜯어서 먹기 시작하느네. 완전개봉되서 왔네요.",정품 의심 암웨이 제품 천원 구매 품다 입구 먹기 시작 완전 개봉,정품 의심 암웨이 제품 구매 품 입 먹 시작 완전 개봉,정품 의심 암웨이 제품 구매 품 입 먹 시작 완전 개봉
462,"암웨이 칼맥 디 멀티비타민 무기질, 360정, 1개",2018.08.09,"이상품 몇년째 꾸준히 먹고있음
몸상태는 예전보다 많이 좋아졋음
비싸서 돈 아끼는것보다는 먹어서
남는게 건강한거 빼고는 없음
꾸준하게 계속 드셔서 유지중",2.0,하*희 ,"이상품 몇년째 꾸준히 먹고있음
몸상태는 예전보다 많이 좋아졋음
비싸서 돈 아끼는것보다는 먹어서
남는게 건강한거 빼고는 없음
꾸준하게 계속 드셔서 유지중",이상품 몇년째 먹고있음 몸상태는 예전보다 좋아졋음 비싸서 돈 아끼는것보다는 먹어서 남는게 건강한거 빼고는 없음 꾸준하게 드셔서 유지중,상품 상태 예전 좋아졋음 유지,상품 상태 예전 좋 졋음 유지,상품 상태 예전 좋 졋음 유지
479,"생생드림 마카환 페루산, 1개, 250g",2018.08.14,너무 어처구니 없고 황당!!!! 물건 받자마자 후기쓰려 들어가보니 가격이 천원 껄어진거여? 두개 구매했는데 2.000원 넘게 구매한거 생각하니 사기당한 기분 ! 아니 일주일도 아니고 하루밤 사이에 가격 이렇게 인하할수 있어요?!!! 참나.::,2.0,식탐이 ,너무 어처구니 없고 황당!!!! 물건 받자마자 후기쓰려 들어가보니 가격이 천원 껄어진거여? 두개 구매했는데 2.000원 넘게 구매한거 생각하니 사기당한 기분 ! 아니 일주일도 아니고 하루밤 사이에 가격 이렇게 인하할수 있어요?!!! 참나.::,어처구니 없고 황당!!!! 물건 받자마자 후기쓰려 들어가보니 가격이 천원 껄어진거여? 두개 구매했는데 2.000원 넘게 구매한거 생각하니 사기당한 기분 ! 일주일도 아니고 하루밤 사이에 가격 이렇게 인하할수 있어요?!!! 참나.::,어처구니 황당 물건 후기 가격 천원 어진 거여 구매 생각 사기 기분 일주일 하루 사이 인하 참나,어처구니 황당 물건 후기 가격 어진 구매 생각 사기 기분 주일 하루 사이 인하 참,어처구니 황당 물건 후기 가격 어진 구매 생각 사기 기분 주일 하루 사이 인하 참
490,"생생드림 마카환 페루산, 1개, 250g",2018.02.16,효과는조금있는거같아요,2.0,안*섭 ,효과는조금있는거같아요,효과는조금있는거같아요,효과 조금,효과 조금,효과 조금
653,"스완슨 울트라 루테인 10mg 소프트젤, 60개입, 1개, 60정",2019.03.22,효능은 글쎄 아직모르겠습니다,2.0,박*호 ,효능은 글쎄 아직모르겠습니다,효능은 글쎄 아직모르겠습니다,효능 글쎄,효능 글쎄,효능 글쎄
654,"스완슨 울트라 루테인 10mg 소프트젤, 60개입, 1개, 60정",2018.12.03,"포장도.별루구요.관세통과 문자받았고요 복잡해서요.기능은.비슷한데요,강추는 아니네요",1.0,김*혜 ,"포장도.별루구요.관세통과 문자받았고요 복잡해서요.기능은.비슷한데요,강추는 아니네요","포장도.별루구요.관세통과 문자받았고요 복잡해서요.기능은.비슷한데요,강추는 아니네요",포장 별루구 관세 통과 문자 기능,포장 별루 관세 통과 문자 기능,포장 별루 관세 통과 문자 기능
796,"나우푸드 피크노제놀 100mg 베지 캡슐, 60정, 1개",2019.06.28,사이즈보고 놀람 돈은 비싸게 주거 샀는데... 통사이즈가... 넘작은거에.. 깜놀.. 잘못받았나 싶었는데.. 넘 미니사이즈네여...효과는 오늘 받아서 더 겪어봐야 알듯요.. 원래 이래 작나요?? 양도 얼마 안될듯한데.. 일단 냄새는 한약냄새가 납니다 심하진않거요 넘김은 나쁘진않아요,2.0,김*아 ,사이즈보고 놀람 돈은 비싸게 주거 샀는데... 통사이즈가... 넘작은거에.. 깜놀.. 잘못받았나 싶었는데.. 넘 미니사이즈네여...효과는 오늘 받아서 더 겪어봐야 알듯요.. 원래 이래 작나요?? 양도 얼마 안될듯한데.. 일단 냄새는 한약냄새가 납니다 심하진않거요 넘김은 나쁘진않아요,사이즈보고 놀람 돈은 비싸게 주거 샀는데... 통사이즈가... 넘작은거에.. 깜놀.. 잘못받았나 싶었는데.. 넘 미니사이즈네여...효과는 받아서 더 겪어봐야 알듯요.. 작나요?? 양도 안될듯한데.. 냄새는 한약냄새가 납니다 심하진않거요 넘김은 나쁘진않아요,사이즈 보고 놀람 돈 주거 깜놀 잘못 미니 효과 알다 양도 냄새 넘김,사이즈 보 놀람 돈 주거 깜놀 잘못 미니 효과 알 냄새 넘김,사이즈 보 놀람 돈 주거 깜놀 잘못 미니 효과 알 냄새 넘김
805,"나우푸드 피크노제놀 100mg 베지 캡슐, 60정, 1개",2020.02.29,한통 다되어가는데 어디가 좋은진 잘모르겠어여 저는 ..흠 그냥저냥 먹고 있어여 다른분들 보니 피로에 좋다고 하는데 저는 이거 먹은지 좀 됐지만 일어나는게 힘들어요 늘 피곤하고 관절에도 좋다지만 무릎아픈건 같구여 눈도 건조해여 도대체 뭐가 효과있다는거죠??,2.0,김*아 ,한통 다되어가는데 어디가 좋은진 잘모르겠어여 저는 ..흠 그냥저냥 먹고 있어여 다른분들 보니 피로에 좋다고 하는데 저는 이거 먹은지 좀 됐지만 일어나는게 힘들어요 늘 피곤하고 관절에도 좋다지만 무릎아픈건 같구여 눈도 건조해여 도대체 뭐가 효과있다는거죠??,한통 다되어가는데 어디가 좋은진 잘모르겠어여 저는 ..흠 그냥저냥 먹고 있어여 다른분들 피로에 좋다고 저는 먹은지 됐지만 일어나는게 힘들어요 늘 피곤하고 관절에도 좋다지만 무릎아픈건 같구여 눈도 건조해여 도대체 뭐가 효과있다는거죠??,어디가 은진 자다 다른 피로 관절 무릎 도대체 효과,어디 은진 자다 다른 관절 무릎 도대체 효과,어디 은진 자다 다른 관절 무릎 도대체 효과
806,"나우푸드 피크노제놀 100mg 베지 캡슐, 60정, 1개",2023.03.03,"혈압이 높아 하루2알 10일 먹었는데 혈압의 변화는 없습니다
그외 혈압영양제 코큐텐 오메가3 블러드프레셔 모두 2알씩 1년이상 먹었지만 효과는 없는듯합니다
그외에 식사량줄이고 짠음식안먹고 저녁샐러드먹기 많이걷기 하루 물1리터먹기 양파즙먹기 등 10일간 매일했지만 단기간이라 그런지 혈압은 1도 안떨어짐
4~5년간 장기 복용해야 효과가 있을것같습니다",1.0,이*욱 ,"혈압이 높아 하루2알 10일 먹었는데 혈압의 변화는 없습니다
그외 혈압영양제 코큐텐 오메가3 블러드프레셔 모두 2알씩 1년이상 먹었지만 효과는 없는듯합니다
그외에 식사량줄이고 짠음식안먹고 저녁샐러드먹기 많이걷기 하루 물1리터먹기 양파즙먹기 등 10일간 매일했지만 단기간이라 그런지 혈압은 1도 안떨어짐
4~5년간 장기 복용해야 효과가 있을것같습니다",혈압이 높아 하루2알 10일 먹었는데 혈압의 변화는 없습니다 그외 혈압영양제 코큐텐 오메가3 블러드프레셔 2알씩 1년이상 먹었지만 효과는 없는듯합니다 그외에 식사량줄이고 짠음식안먹고 저녁샐러드먹기 많이걷기 물1리터먹기 양파즙먹기 10일간 매일했지만 단기간이라 그런지 혈압은 1도 안떨어짐 4~5년간 장기 복용해야 효과가 있을것같습니다,혈압 하루 변화 양제 코큐텐 오메가 블러드 프레 효과 식사량 저녁 샐러드 먹기 걷기 물 리터 양파 매일 단기간 장기 복용,혈압 하루 변화 양제 오메가 블러드 프레 효과 식사량 저녁 샐러드 먹 걷 물 리터 양파 매일 단기간 장기 복용,혈압 하루 변화 양제 오메가 블러드 프레 효과 식사량 저녁 샐러드 먹 걷 물 리터 양파 매일 단기간 장기 복용
